col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
"S. E. Fahlman.	Fast-learning variations on back-propagation: An empirical study.	?","	pages 38-51","	?","	?","	Morgan Kaufmann.	     	?","	Connectionist Models Summer School: 1988 Proceedings","	In D. S. Touretzky", G. E. Hinton, and Sejnowski, editors,"	?","	?","	?","	?"
"Scott E. Fahlman.	The recurrent cascade-correlation architecture.	3","	pages 190-196","	1991.	?","	Morgan Kaufmann Publishers.	San Mateo", California,"	?","	Advances in Neural Information Processing Systems	In R. P. Lipp-mann", J. E. Moody, and D. S. Touretzky, editors,"	?","	?","	?","	?"
"Scott E. Fahlman.	The recurrent cascade-correlation architecture.	3","	pages 190-196","	1991.	?","	Morgan Kaufmann Publishers.	San Mateo", California,"	?","	Advances in Neural Information Processing Systems	In R. P. Lippmann", J. E. Moody, and D. S. Touretzky, editors,"	?","	?","	?","	?"
"Scott E. Fahlman.	The recurrent cascade-correlation architecture.	3","	pages 190-196","	1991.	?","	Morgan Kaufmann Publishers.	San Mateo", California,"	?","	Advances in Neural Information Processing Systems	In R. P. Lippmann", J. E. Moody, and D. S. Touretzky, editors,"	?","	?","	?","	?"
"Scott E. Fahlman.	The recurrent cascade-correlation architecture.	3","	pages 190-196","	1991.	?","	Morgan Kaufmann Publishers.	San Mateo", California,"	?","	Advances in Neural Information Processing Systems	In R. P. Lippmann", J. E. Moody, and D. S. Touretzky, editors,"	?","	?","	?","	?"
"S. Fahlman.	The recurrent cascade-correlation architecture.	3","	pages 190 196.	1991.	?","	Morgan Kaufmann","	San Mateo", CA,"	?","	Advances in Neural Information Processing Systems	In R. Lippmann", J. Moody, and D. Touretzky, editors,"	?","	?","	?","	?"
"S. Fahlman.	The recurrent cascade-correlation architecture.	3","	pages 190 196.	1991.	?","	Morgan Kaufmann","	San Mateo", CA,"	?","	Advances in Neural Information Processing Systems	In R. Lippmann", J. Moody, and D. Touretzky, editors,"	?","	?","	?","	?"
Kibler, D. and Aha," D.	Comparing Instance-Averaging with Instance-Filtering Learning Algorithms.	?","	pp. 63-88.	?","	?","	?","	?","	?","	In Proceedings of the 3rd European Working Session on Learning", EWSL88,"	?","	?","	?","	?"
Fahlman," S.E.	Fast Learning Variations on Backpropagation: An Empirical Study","	?","	pp. 38-51","	(1989)","	?","	Morgan Kauffmann.	San Mateo:	?","	In proceedings of the 1988 Connectionist Models Summer School","	Eds. D.S. Touretzky"," G. Hinton and T.	?","	?","	?","	?","	?"
A. Mehra, Z. Wang," and K. Shin.	Self-parameterizing protocol stacks for guaranteed quality of service.	?","	?","	?","	?","	?","	?","	available at ftp://rtcl.eecs.umich.edu/outgoing/ashish/selfparam.ps"," June 1998.	?","	?","	?","	?","	?"
Brodley, C. E. & Utgoff," P. E.	Multivariate versus univariate decision trees","	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?"
Brodley, C. E. & Utgoff," P. E.	Multivariate versus univariate decision trees","	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?"
Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon," and     Daniel L. Weinreb.   	Common Lisp: The Language.	?","	?","	1984.	?","	Digital Press","	Burlington", Massachusetts,"	?","	?","	?","	?"
Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon," and     Daniel L. Weinreb.   	Common Lisp: The Language.	?","	?","	1984.	?","	Digital Press","	Burlington", Massachusetts,"	?","	?","	?","	?"
Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon," and     Daniel L. Weinreb.   	Common Lisp: The Language.	?","	?","	1984.	?","	Digital Press","	Burlington", Massachusetts,"	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas     and M.R. Andersson,"   	?","	76","	893","	(1994).	J Appl. Phys.","	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.       Andersson,"     	?","	76","	893","	(1994).	J Appl. Phys.","	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.       Andersson,"     	?","	76","	893","	(1994).	J Appl. Phys.","	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.       Andersson,"     	?","	76","	893","	(1994).	J Appl. Phys.","	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.       Andersson,"     	?","	76","	893","	(1994).	J Appl. Phys.","	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.       Andersson,"     	?","	76","	893","	(1994).	J Appl. Phys.","	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.       Andersson,"     	?","	76","	893","	(1994).	Journal of Applied Physics","	?","	?","	?","	?"
M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman," O.	Inganas and M.R.	76","	893","	(1994).	Andersson", J Appl. Phys.,"	?","	?","	?","	?","	?"
Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani,"     and Tom Rodden.   	Networked Virtual realitty and Cooperative Work.	4(4)	364-386","	1995.	Presence","	?","	?","	?","	?","	?","	?","	?"
Dempster, A., Laird, N., and Rubin," D.	Maximum likelihood from incomplete data via the EM algorithm.	39	1-38.	(1977).	Journal of the Royal Statistical Society B","	?","	?","	?","	?","	?","	?","	?","	?"
Dempster, A., Laird, N., and Rubin," D.	Maximum likelihood from incomplete data via the EM algorithm.	39	1-38.	(1977).	Journal of the Royal Statistical Society B","	?","	?","	?","	?","	?","	?","	?","	?"
"S.E. Fahlman.	NETL: A system for representing real-world knowledge","	?","	?","	?","	?","	MIT Press.	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle," M.	(1991) Parallel perception of vernier offsets", curvature," and chevrons in humans.	31:	2149-2184.	?","	Vis. Res.","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle, M. & Edelman," S.	Long-term learning in vernier acuity: Effects of stimulus orientation"," range and of       feedback.     	33","	397-412.	(1993).	Vision Research","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle, M. & Edelman," S.	       Long-term learning in vernier acuity: Effects of stimulus orientation"," range and of feedback.     	33","	397-412.	?","	Vision Research","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle, M., Edelman, S., and Poggio," T.	Fast perceptual learning in hyperacuity.	35	3003-3013.	(1995).	Vision Research","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle, M., Edelman, S., and Poggio," T.	Fast perceptual learning in hyperacuity.	35	3003-3013.	(1995).	Vision Research","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle, M., Edelman, S., and Poggio," T.	Fast perceptual learning in hyperacuity.	35	3003-3013.	(1995).	Vision Research","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle, M., Edelman, S., & Poggio," T.	 Fast perceptual learning in hyperacuity.     	35","	3003-3013.	?","	Vision Research","	?","	?","	?","	?","	?","	?"
Fahle," M.	Specificity of learning curvature", orientation," and vernier discriminations.	37(14)","	1885-1895. 66	(1997).	Vision Research","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahle," M.	Specificity of learning curvature", orientation," and vernier       discriminations.     	37(14)","	1885-1895.	?","	Vision Research","	?","	?","	?","	?","	?","	?","	?","	?"
S. Fahlman,"	""-""A planning system for robot construction tasks",-?,"	vol. 5","	pp. 1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?"
S. Fahlman,"	""-""A planning system for robot construction tasks",-?,"	vol. 5","	pp. 1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S. E.,"	NETL: A system for representing and using real world knowledge","	?","	?","	1979.	?","	Cambridge: MIT Press.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman," S. E.	NETL: A System for Representing and Using Real World Knowledge.	?","	?","	(1979).	?","	MIT Press","	Cambridge"," MA.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman," S. E.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	(1979).	?","	The MIT Press","	Cambridge"," MA.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman," S. E.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	(1979).	?","	The MIT Press","	Cambridge"," MA.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S. E.,"	NETL: A System for Representing and Using Real World Knowledge","	?","	?","	1979.	?","	Cambridge: MIT Press.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S. E.,"	NETL: A System for Representing and Using Real World Knowledge","	?","	?","	1979.	?","	Cambridge: MIT Press.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S. E.,"	NETL: A System for Representing and Using Real World Knowledge","	?","	?","	1979.	?","	Cambridge: MIT Press.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S. E.,"	NETL: A System for Representing and Using Real World Knowledge"," Cam-bridge:	?","	?","	1979.	?","	MIT Press.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S. E.,"	NETL: A system for representing and using real world knowledge","	?","	?","	1979.	?","	Cambridge: MIT Press.	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman," S.E.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	(1979).	?","	MIT Press","	Cambridge"," MA.	?","	?","	?","	?","	?","	?","	?","	?"
"Scott E. Fahlman.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?","	?","	?","	?"
"S. E. Fahlman.	NETL : a System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	MIT Press","	Cambridge", Mass.,"	?","	?","	?","	?","	?","	?","	?","	?"
"Scott E. Fahlman.	A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?","	?","	?","	?"
"Scott E. Fahlman.	A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?","	?","	?","	?"
"Scott E. Fahlman.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?","	?","	?","	?"
S. Fahlman,"	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	The MIT Press","	Cambridge", Massachusetts,"	?","	?","	?","	?","	?","	?","	?"
"Scott E. Fahlman.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?","	?","	?","	?"
"S. Fahlman.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	The MIT Press","	Cambridge", Mas-sachusetts,"	?","	?","	?","	?","	?","	?","	?","	?"
"Scott E Fahlman.	NETL"," A System For Representing And Using Real-World Knowledge.	?","	?","	1979.	?","	The MIT Press","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S.E.,"	""-""NETL: A System for Representing and Using Real World Knowledge- ?","	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?"
"S. E. Fahlman.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	1977.	?","	MIT Press","	Cambridge", Ma,"	?","	?","	?","	?","	?","	?","	?","	?"
"S.E. Fahlman.	NETL: A System for Representing and Using Real World Knowledge","	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?","	?","	?"
"S.E. Fahlman.	NETL: A system for representing and using real-world knowledge.	?","	?","	1979.	?","	MIT Press","	Cambridge", MA, U.S.A.,"	?","	?","	?","	?","	?","	?","	?"
S. Fahlman,"	NETL: A System for Representing and Using Real World Knowledge","	?","	?","	1979.	?","	MIT Press","	Cambridge", MA,"	?","	?","	?","	?","	?","	?"
"S. Fahlman.	NETL: A System for Representing and Using Real-World Knowledge.	?","	?","	1979.	?","	The MIT Press","	Cambridge", Massachusetts,"	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman S, Touretzky D and van Roggen W,"	Cancellation in a Parallel Semantic Network","	?","	257-263","	?","	?","	?","	Menlo Park:	International Joint Conferences on AI.	In Proc IJCAI-81","	?","	?","	?","	?","	?"
Fahlman, S. & Hinton," G.	Connectionist architectures for artificial intelligence.	20","	100-109.	(1987).	Computer","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?"
"S. Fahlman.	Faster learning variations on back-propagation: An empirical study.	?","	pages 38-51","	1988.	?","	?","	Pittsburgh", PA,"	?","	In Procs. of the 1988 Connectionist Models Summer School","	?","	?","	?","	?","	?","	?"
S. Fahlmann,"	Faster-Learning Variations on BackPropagation: An Empirical Study","	?","	pp 38-51","	1988.	?","	?","	?","	?","	Proceedings of the 1988 Connectionist Models Summer School","	?","	?","	?","	?","	?"
S. Fahlmann,"	Faster-Learning Variations on BackPropagation: An Empirical Study","	?","	pp 38-51","	1988.	?","	?","	?","	?","	Proceedings of the 1988 Connectionist Models Summer School","	?","	?","	?","	?","	?"
Fahlman," S.	""-""Faster-Learning Variations on Back-Propagation: An Empirical Study-"". In:     ""	?","	?","	1988	?","	Morgan Kaufmann","	?","	?","	Proc. of the 1988 Connectionist Models Summer School","	?","	?","	?","	?","	?","	?"
S. E. Fahlman,"	Faster-learning variations on back-propagation: An empirical study","	?","	?","	1988.	?","	Morgan Kaufmann","	?","	?","	in Proceedings of the 1988 Connectionist Models Summer School","	?","	?","	?","	?","	?"
"S. E.	Fahlman (1988): Faster-Learning Variations on Back-Propagation: An Empirical Study","     	?","	?","	?","	?","	Morgan Kauf-mann.	?","	?","	in Proceedings of the 1988 Connectionist Summer School","	?","	?","	?","	?","	?","	?"
"S. E.	Fahlman (1988): Faster-Learning Variations on BackPropagation: An Empirical Study","     	?","	?","	?","	?","	Morgan Kauf-mann.	?","	?","	in Proceedings of the 1988 Connectionist Models Summer School","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D. & Albert," M. K.	""-""Instance-based learning algorithms- ?","	?","	37-66.	?","	Machine Learning 6(1)","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D. & Albert," M. K.	""-""Instance-based learning algorithms- ?","	?","	37-66.	?","	Machine Learning 6(1)","	?","	?","	?","	?","	?","	?"
Fahlman, S. E. & Lebiere," C.	The cascade-correlation learning architecture.	volume 2","	pages 524-532","	1989.	?","	CO. Morgan Kaufmann.	Denver","	?","	In Advances in Neural Information Processing Systems","	?","	?","	?","	?","	?","	?"
Fahlman, S. E. and Lebiere," C.	The cascade-correlation architecture.	2","	pages 524 532.	(1990).	?","	Morgan Kaufmann.	?","	?","	Advances in Neural Information Processing Structures	In Touretzky", D. S., editor,"	?","	?","	?","	?","	?"
Fahlman, S. E. and Lebiere," C.	The cascade-correlation architecture.	2","	pages 524 532.	(1990).	?","	Morgan Kaufmann.	?","	?","	Advances in Neural Information Processing Structures	In Touretzky", D. S., editor,"	?","	?","	?","	?","	?"
Fahlman, S. E. and Lebiere," C.	The cascade-correlation learning algorithm.	2","	pages 525-532.	(1990).	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	Advances in Neural Information Processing Systems	In Touretzky", D. S., editor,"	?","	?","	?","	?","	?"
Fahlman, S. E., & Lebiere," C.	The cascade correlation architecture.	2","	524-532.	(1990).	?","	?","	?","	?","	Advances in 43 Neural Information Processing Systems","	?","	?","	?","	?","	?"
Fahlman, S. E., & Lebiere," C.	The cascade correlation architecture.	2","	524-532.	(1990).	?","	?","	?","	?","	Advances in Neural Information Processing Systems","	?","	?","	?","	?","	?"
Fahlman," S. and Lebiere C.	The Cascade Correlation Learning Architecture.	?","	?","	(1991).	?","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman," S. and Lebiere C.	The Cascade Correlation Learning Architecture.	?","	?","	(1991).	?","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman," S. and Lebiere C.	The Cascade Correlation Learning Architecture.	?","	?","	(1991).	?","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Fahlman, S. and Lebiere," C.	The cascade-correlation architecture.	2","	pages 524-532.	(1990).	?","	Mor-gan Kaufmann.	?","	?","	Advances in Neural Information Processing Structures	In Touretzky", D. S., editor,"	?","	?","	?","	?","	?"
Fahlman, S. and Lebiere," C.	The cascade-correlation architecture.	2","	pages 524-532.	(1990).	?","	Mor-gan Kaufmann.	?","	?","	Advances in Neural Information Processing Structures	In Touretzky", D. S., editor,"	?","	?","	?","	?","	?"
Fahlman, S., & Lebiere," C.	The cascade-correlation learning architecture.	Vol. 2","	pp.	(1989).	?","	Morgan Kaufmann.	524-532 San Mateo"," CA.	?","	In Advances in Neural Information Processing Systems","	?","	?","	?","	?","	?","	?"
Fahlman, S., and Lebiere," C.	The cascade-correlation learning architecture.	2","	524-532.	(1989).	?","	?","	Denver"," CO.	?","	In Advances in Neural Information Processing Systems	?","	?","	?","	?","	?","	?"
Fahlman, S., and Lebiere," C.	The cascade-correlation learning architecture.	2","	524-532.	(1989).	?","	?","	Denver"," CO.	?","	In Advances in Neural Information Processing Systems	?","	?","	?","	?","	?","	?"
Fahlmann, S. E. and Lebiere," C.	The cascade-correlation learning architecture.	?","	?","	(1989).	?","	?","	Denver"," Colorado.	?","	In Advances in Neural Information Processing Systems 2 (NIPS-2)","	?","	?","	?","	?","	?"
"S.E. Fahlman and C. Lebiere.	The cascade-correlation learn-ing architecture. In D.S.	volume 2","	pages 524-532","	?","	?","	Morgan Kaufmann.	San Mateo"," 1990.	?","	Advances in Neural Information Processing Systems","	Touretzky", editor,"	?","	?","	?","	?","	?"
"S.E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture. In D.S.	volume 2","	pages 524-532","	?","	?","	Morgan Kaufmann.	San Mateo"," 1990.	?","	Advances in Neural Information Processing Systems","	Touretzky", editor,"	?","	?","	?","	?","	?"
S. E. Fahlman and C. Lebiere,"	The Cascade-Correlation Learning Architecture","	volume 2","	524-532.	(1989)","	?","	?","	Denver"," CO	?","	In Advances in Neural Information Processing Systems","	?","	?","	?","	?","	?"
S. E. Fahlmann," C. Lebiere:	""-""The Cascade-Correlation Learning Architecture- ?","	2","	?","	1990	?","	Morgan Kaufmann","	San Mateo","	?","	Advances in Neural Information Processing Systems	?","	?","	?","	?","	?","	?"
"S. E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	?","	pages 524-532","	1990.	?","	Morgan Kaufmann.	San Mateo", CA,"	?","	Advances in Neural Information Processing Systems","	In D. S. Touretsky", editor,"	?","	?","	?","	?","	?"
"S. E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	volume 2","	pages 524-532","	1990.	?","	Morgan Kaufmann.	San Mateo", CA,"	?","	Advances in Neural Information Processing Systems","	In D. S. Touretzky", editor,"	?","	?","	?","	?","	?"
"S. E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	volume 2","	pages 524-532","	1990.	?","	Morgan Kaufmann.	San Mateo", CA,"	?","	Advances in Neural Information Processing Systems","	In D. S. Touretzky", editor,"	?","	?","	?","	?","	?"
"S.E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	2","	pages 524-532","	1990.	?","	IEEE"," Morgan Kaufmann.	San Mateo", CA,"	?","	Advances in Neural Information Processing Systems	In D. S. Touretzky", editor,"	?","	?","	?","	?","	?"
"S.E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	2","	pages 524-532","	1990.	?","	IEEE"," Morgan Kaufmann.	San Mateo", CA,"	?","	Advances in Neural Information Processing Systems	In D. S. Touretzky", editor,"	?","	?","	?","	?","	?"
"S. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	volume 2","	pages 524-532","	1989"," 1990.	?","	Morgan Kaufmann","	San Mateo.	?","	Advances in Neural Information Processing Systems","	In D. Touretzky", editor,"	?","	?","	?","	?","	?"
Fahlman, Scott E.,"	""-""The Cascade-Correlation Learning Architecture- ?","	2","	?","	(1990).	?","	Morgan Kaufman	?","	?","	in Advances in Neural Information Processing Systems	?","	?","	?","	?","	?","	?"
Fahlmann," S.E.(1990).	The recurrent cascade-correlation architecture.	?","	pp.380-387.	?","	?","	?","	?","	?","	InAdvances in Neural Information Processing Systgems","	?","	?","	?","	?","	?","	?"
C. Brodley, P. Utgoff,"	""-""Multivriate Decision Trees- ?","	?","	?","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?"
Fahlman, Scott E.,"	""-""The Recurrent Cascade-Correlation Architecture- ?","	3","	?","	(1991).	?","	Morgan Kaufman	?","	?","	in Advances in Neural Information Processing Systems	?","	?","	?","	?","	?","	?"
J.Frankel, L.Alvarez, R.Horowitz," and P.Li.	""-""Robust Platoon Manuevers for AVHS",-?,"	?","	?","	?","	?","	?","	?","	?","	?","	?"
Herzog, M.H. & Fahle," M.	A recurrent model for learning a hyperacuity task.	24","	?","	(1995)	Perception","	?","	?","	?","	?","	?","	?","	?","	?","	?"
"M. H. Hoehfeld and S. Fahlman.	Learning with Limited Numerical Precision Using the Cascade-Correlation Algorithm.     	vol. 3", no. 4,"	?","	1992.	IEEE Transactions on Neural Networks","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?"
"J. Knoop and B. Steffen.	The interprocedural coincidence theorem.	Vol. 641","	pages 125-140","	1992.	?","	Springer-Verlag","	New York", NY,"	Appeared as Lecture Notes in Computer Science","	In Proceedings of the Fourth International Conference on Compiler Construction","     	U. Kastens and P. Pfahler (eds.)","	?","	?","	?","	?","	?"
"Jurgen Knopp.	Improving the performance of parallel lisp by compile time analysis.	?","	pages 271-277.	1992.	?","	Springer-Verlag","	?","	?","	Compiler Construction", volume 641 of Lecture Notes in Computer Science,"	In U. Kastnes and P. Pfahler", editors,"	?","	?","	?","	?","	?"
"Koen Langendoen and Pieter Hartel. FCG:	a code generator for lazy functional languages.	?","	pages 278-296","	Oct 92.	?","	Springer-Verlag.	Paderborn", Germany,"	?","	Proceedings of the Conference on Compiler Construction","	In P. Pfahler U. Kastens", editor,"	?","	?","	?","	?","	?"
"P. Pfahler and U. Kastens.	Language design and implementation by selection.	?","	?","	1997.	?","	?","	Paris", France,"	?","	In First ACM SIGPLAN Workshop on Domain-Specific Languages","	?","	?","	?","	?","	?","	?"
"P. Pfahler and U. Kastens.	Language design and implementation by selection.	?","	?","	1997.	?","	?","	Paris", France,"	?","	In First ACM SIGPLAN Workshop on Domain-Specific Languages","	?","	?","	?","	?","	?","	?"
Poggio, T., Fahle, M., and Edelman," S.	Fast perceptual learning in visual hyperacuity.	256	1018-1021.	(1992).	Science","	?","	?","	?","	?","	?","	?","	?","	?"
Poggio, T., Fahle, M., and Edelman," S.	Fast perceptual learning in visual hyperacuity.	256	1018-1021.	(1992).	Science","	?","	?","	?","	?","	?","	?","	?","	?"
Poggio, T., Fahle, M., and Edelman," S.	Fast perceptual learning in visual hyperacuity.	256	1018-1021.	(1992).	Science","	?","	?","	?","	?","	?","	?","	?","	?"
Poggio, T., Fahle, M., and Edelman," S.	Fast perceptual learning in visual hyperacuity.	256	1018-1021.	(1992).	Science","	?","	?","	?","	?","	?","	?","	?","	?"
Poggio, T., Fahle, M., and Edelman," S.	Fast perceptual learning in visual hyperacuity.	256	1018-1021.	(1992).	Science","	?","	?","	?","	?","	?","	?","	?","	?"
Poggio, T., Fahle, M., and Edelman," S.	Fast perceptual learning in visual hyperacuity.	256	1018-1021.	(1992b).	Science","	?","	?","	?","	?","	?","	?","	?","	?"
Poggio, T., Fahle, M., & Edelman," S.	Fast perceptual learning in visual hyperacuity.	256","	1018-1021.	(1992)	Science","	?","	?","	?","	?","	?","	?","	?"
T. Poggio, M. Fahle," and S. Edelman.	Fast Per ceptual Learning in Visual Hyperacuity.	256	1018-1021","	1992.	Science","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Poggio T, Fahle M," and Edelman S.	Fast perceptual learning in visual hyperacuity.	256	1018-1021","	1992.	Science","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D. & Albert," M. K.	""-""Instance-based learning algorithms- ?","	?","	pp. 37-66.	?","	Machine Learning 6(1)","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D., & Albert," M. K.	Instance-based learning algorithms.	6","	37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?"
Weiss, Y., Edelman, S., and Fahle," M.	Models of perceptual learning in vernier hyperacuity.	5	695-718. 9	(1993).	Neural Computation","	?","	?","	?","	?","	?","	?","	?","	?"
Weiss, Y., Edelman, S., and Fahle," M.	Models of perceptual learning in vernier hyperacuity.	5	695-718.	(1993).	Neural Computation","	?","	?","	?","	?","	?","	?","	?","	?"
Weiss, Y., Edelman, S., and Fahle," M.	Models of perceptual learning in vernier hyperacuity.	5	695-718.	(1993).	Neural Computation","	?","	?","	?","	?","	?","	?","	?","	?"
Weiss, Y., Edelman, S., and Fahle," M.	Models of perceptual learning in vernier hyperacuity.	5	695-718.	(1993).	Neural Computation","	?","	?","	?","	?","	?","	?","	?","	?"
Weiss, Y., Edelman, S., and Fahle," M.	Models of perceptual learning in vernier hyperacuity.	5	695-718.	(1993).	Neural Computation","	?","	?","	?","	?","	?","	?","	?","	?"
Weiss, Y., Edelman, S., and Fahle," M.	Models of perceptual learning in vernier hyperacuity.	5	695-718.	(1993).	Neural Computation","	?","	?","	?","	?","	?","	?","	?","	?"
Aha, D. W., D. Kibler, and M. K. Albert,"	``Instance Based Learning Algorithms","--	Vol 6","	pp. 37-66","	?","	Machine Learning","	?","	?","	?","	?","	?"
AHA, D.W., KIBLER, D. and ALBERT," M.K	Instance-based learning algorithms","	Vol. 6","	pp. 37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?"
AHA, D.W., KIBLER, D. and ALBERT," M.K.	Instance-based learning algorithms","	Vol. 6","	pp. 37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D., & Albert," M.	Instance-based learning algorithms.	7","	37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?"
Aha, D.W., Kibler E.," Albert M.K.:	Instance-based learning algorithms.	6","	37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?"
D.W. Aha, D. Kibler," and M.K. Albert:	Instance-based learning algorithms","	6","	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?"
D.W. Aha, D. Kibler," and M.K. Albert:	Instance-based learning algorithms","	6","	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D. & Albert," M. K.	""-""Instance-based learning algorithms- ?","	?","	pp. 37-66.	?","	Machine Learning 6(1)","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D. & Albert," M. K.	""-""Instance-based learning algorithms- ?","	?","	pp. 37-66.	?","	Machine Learning 6(1)","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D. & Albert," M. K.	""-""Instance-based learning algorithms- ?","	?","	pp. 37-66.	?","	Machine Learning 6(1)","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D., & Albert," M.	Instance-based learning algorithms.	6 (1)","	37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?"
Aha, D. W., Kibler, D., & Albert," M.	Instance-based learning algorithms.	6 (1)","	37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?"
