sex,length,diameter,height,wholeWeight
M,0.57,0.43,0.12,10.615
M,0.585,0.405,0.15,12.565
F,0.55,0.44,0.155,0.946
F,0.54,0.44,0.135,0.959
M,0.64,0.51,0.19,1.613
F,0.61,0.47,0.145,1.153
M,0.545,0.45,0.15,0.978
F,0.59,0.445,0.13,11.325
M,0.345,0.27,0.095,0.197
F,0.55,0.43,0.155,0.785
F,0.53,0.425,0.17,0.949
F,0.53,0.455,0.165,0.9805
I,0.485,0.375,0.14,0.521
M,0.385,0.275,0.115,0.2685
M,0.455,0.34,0.135,0.462
M,0.49,0.38,0.14,0.7605
M,0.53,0.41,0.165,0.732
M,0.505,0.385,0.145,0.6775
M,0.49,0.38,0.14,0.6385
M,0.465,0.35,0.14,0.5755
F,0.47,0.36,0.145,0.537
M,0.56,0.41,0.165,0.93
M,0.505,0.385,0.15,0.6415
M,0.515,0.435,0.145,0.8815
I,0.385,0.28,0.125,0.244
I,0.215,0.155,0.06,0.0525
M,0.55,0.415,0.175,1.042
F,0.515,0.39,0.13,0.5755
M,0.495,0.385,0.135,0.709
F,0.505,0.39,0.16,0.644
F,0.6,0.465,0.165,0.8875
F,0.57,0.465,0.16,0.8935
F,0.485,0.375,0.135,0.556
M,0.47,0.37,0.18,0.51
M,0.575,0.45,0.165,0.9215
M,0.58,0.465,0.16,10.345
M,0.515,0.405,0.145,0.695
M,0.53,0.41,0.155,0.7155
M,0.44,0.335,0.11,0.394
M,0.52,0.42,0.16,0.745
F,0.425,0.345,0.11,0.3665
M,0.46,0.34,0.135,0.495
M,0.45,0.335,0.125,0.349
M,0.425,0.33,0.13,0.4405
I,0.37,0.275,0.1,0.22
M,0.515,0.38,0.135,0.6615
M,0.405,0.305,0.12,0.3185
I,0.28,0.205,0.07,0.1015
F,0.48,0.4,0.125,0.759
F,0.44,0.34,0.13,0.4195
F,0.52,0.41,0.115,0.807
M,0.505,0.405,0.14,0.875
F,0.49,0.365,0.13,0.6835
I,0.235,0.175,0.055,0.067
I,0.255,0.185,0.06,0.088
I,0.315,0.24,0.085,0.1715
I,0.325,0.25,0.08,0.1735
I,0.335,0.25,0.08,0.183
I,0.35,0.27,0.09,0.2055
I,0.35,0.25,0.07,0.18
I,0.36,0.3,0.085,0.27
I,0.365,0.275,0.135,0.24
I,0.37,0.275,0.14,0.2215
I,0.38,0.275,0.095,0.1375
I,0.385,0.29,0.095,0.312
I,0.385,0.3,0.1,0.2895
I,0.395,0.29,0.095,0.319
I,0.395,0.29,0.095,0.304
I,0.4,0.31,0.1,0.306
I,0.41,0.325,0.1,0.394
I,0.415,0.32,0.11,0.3735
M,0.415,0.305,0.1,0.325
I,0.425,0.325,0.1,0.398
I,0.44,0.365,0.115,0.501
I,0.445,0.335,0.1,0.4895
I,0.445,0.325,0.1,0.378
I,0.45,0.35,0.13,0.547
M,0.47,0.375,0.12,0.5805
I,0.475,0.365,0.125,0.5465
F,0.48,0.365,0.135,0.6395
I,0.485,0.355,0.105,0.498
M,0.49,0.385,0.125,0.609
F,0.495,0.41,0.125,0.7555
M,0.5,0.4,0.125,0.5975
M,0.505,0.44,0.14,0.8275
M,0.525,0.395,0.13,0.7635
M,0.54,0.405,0.125,0.891
F,0.54,0.42,0.14,0.805
F,0.545,0.44,0.135,0.9185
F,0.55,0.43,0.125,0.923
M,0.55,0.45,0.15,10.145
F,0.55,0.45,0.15,0.875
M,0.555,0.435,0.145,0.9685
M,0.565,0.45,0.155,10.595
M,0.57,0.455,0.15,0.952
M,0.57,0.435,0.13,0.7535
F,0.575,0.465,0.14,0.958
M,0.59,0.475,0.165,1.077
M,0.59,0.46,0.13,1.102
F,0.595,0.48,0.15,1.11
F,0.595,0.48,0.16,12.095
F,0.595,0.475,0.16,11.405
F,0.595,0.465,0.14,1.113
M,0.6,0.475,0.175,13.445
F,0.6,0.475,0.155,1.21
M,0.6,0.495,0.175,1.29
F,0.605,0.475,0.175,1.382
M,0.605,0.455,0.16,11.035
F,0.615,0.5,0.175,1.377
F,0.615,0.52,0.15,13.435
M,0.615,0.51,0.15,1.296
M,0.615,0.505,0.165,1.34
F,0.62,0.505,0.16,13.725
M,0.62,0.5,0.165,1.307
F,0.625,0.49,0.155,12.085
F,0.625,0.49,0.2,13.825
M,0.63,0.505,0.165,1.26
M,0.635,0.51,0.17,13.555
F,0.635,0.5,0.15,1.376
F,0.635,0.485,0.165,12.945
F,0.64,0.51,0.165,1.486
M,0.65,0.525,0.175,14.715
M,0.655,0.52,0.165,14.095
M,0.655,0.58,0.205,20.805
M,0.66,0.53,0.17,13.905
M,0.66,0.52,0.19,1.558
F,0.67,0.585,0.16,1.309
F,0.675,0.525,0.17,18.095
F,0.675,0.525,0.155,14.785
F,0.68,0.56,0.195,17.775
F,0.685,0.54,0.16,16.675
F,0.695,0.56,0.22,1.834
M,0.73,0.595,0.23,28.255
I,0.205,0.14,0.05,0.046
I,0.24,0.175,0.055,0.0705
I,0.24,0.175,0.065,0.0665
I,0.255,0.19,0.05,0.083
I,0.255,0.18,0.055,0.083
I,0.265,0.195,0.06,0.092
I,0.28,0.12,0.075,0.117
I,0.295,0.23,0.08,0.1625
I,0.3,0.235,0.08,0.131
I,0.3,0.23,0.095,0.1385
I,0.305,0.22,0.07,0.141
I,0.315,0.235,0.075,0.1485
I,0.315,0.23,0.07,0.144
I,0.32,0.24,0.09,0.1575
I,0.325,0.24,0.075,0.187
I,0.33,0.265,0.085,0.196
I,0.335,0.25,0.075,0.1825
I,0.335,0.25,0.075,0.186
I,0.34,0.25,0.075,0.1785
I,0.34,0.25,0.07,0.2225
I,0.345,0.265,0.1,0.2455
I,0.37,0.29,0.095,0.249
I,0.37,0.28,0.095,0.2865
I,0.375,0.28,0.09,0.215
I,0.385,0.265,0.08,0.251
I,0.41,0.31,0.09,0.339
I,0.41,0.305,0.09,0.3535
I,0.41,0.31,0.09,0.3335
I,0.415,0.33,0.09,0.3595
I,0.42,0.32,0.115,0.376
I,0.42,0.315,0.1,0.3435
I,0.425,0.34,0.1,0.382
I,0.425,0.315,0.1,0.377
I,0.43,0.325,0.1,0.3645
I,0.43,0.325,0.09,0.425
I,0.435,0.325,0.12,0.3995
I,0.435,0.34,0.115,0.3925
I,0.44,0.345,0.13,0.4495
I,0.44,0.325,0.09,0.35
F,0.445,0.335,0.11,0.4355
I,0.445,0.35,0.13,0.4195
I,0.45,0.36,0.13,0.478
I,0.45,0.355,0.105,0.4445
I,0.45,0.345,0.11,0.47
I,0.45,0.335,0.105,0.447
I,0.455,0.355,0.125,0.5325
I,0.455,0.375,0.12,0.497
I,0.46,0.36,0.1,0.4635
I,0.46,0.345,0.105,0.449
I,0.465,0.365,0.115,0.467
I,0.465,0.37,0.115,0.534
I,0.465,0.345,0.11,0.4415
F,0.465,0.35,0.125,0.482
M,0.47,0.365,0.12,0.612
F,0.47,0.365,0.12,0.582
M,0.475,0.37,0.125,0.537
F,0.475,0.36,0.12,0.5915
M,0.48,0.375,0.115,0.6765
M,0.48,0.385,0.145,0.64
M,0.48,0.36,0.1,0.439
M,0.48,0.365,0.12,0.6015
F,0.485,0.37,0.115,0.4785
M,0.49,0.385,0.125,0.649
M,0.495,0.395,0.135,0.6335
M,0.495,0.4,0.135,0.61
M,0.5,0.39,0.135,0.6595
I,0.5,0.385,0.12,0.56
M,0.5,0.385,0.135,0.6425
M,0.5,0.4,0.125,0.6725
F,0.505,0.39,0.13,0.674
I,0.505,0.39,0.15,0.685
M,0.505,0.41,0.125,0.642
I,0.505,0.355,0.125,0.601
M,0.51,0.39,0.135,0.769
I,0.51,0.375,0.1,0.5785
I,0.51,0.405,0.135,0.769
M,0.51,0.405,0.15,0.7035
M,0.51,0.41,0.145,0.796
F,0.515,0.43,0.14,0.834
M,0.515,0.39,0.155,0.7125
F,0.525,0.415,0.14,0.724
M,0.525,0.4,0.14,0.7325
F,0.53,0.425,0.13,0.7585
F,0.53,0.425,0.15,0.8495
M,0.53,0.405,0.125,0.6515
F,0.535,0.4,0.135,0.8215
M,0.535,0.43,0.14,0.7165
M,0.535,0.435,0.14,0.874
F,0.55,0.445,0.155,0.9905
F,0.55,0.43,0.14,0.8105
F,0.56,0.455,0.16,0.967
F,0.565,0.4,0.13,0.6975
M,0.57,0.45,0.155,1.195
M,0.57,0.45,0.155,11.935
F,0.57,0.455,0.15,1.107
M,0.57,0.445,0.14,10.635
M,0.57,0.46,0.17,0.9035
M,0.575,0.475,0.16,1.114
F,0.575,0.46,0.16,1.103
F,0.58,0.46,0.15,11.155
F,0.58,0.46,0.18,10.515
M,0.58,0.455,0.15,1.012
F,0.58,0.45,0.145,1.137
M,0.58,0.49,0.13,11.335
M,0.59,0.465,0.155,1.136
M,0.59,0.47,0.16,1.206
F,0.59,0.455,0.145,1.063
F,0.595,0.47,0.155,1.121
F,0.595,0.45,0.15,1.114
M,0.595,0.475,0.165,1.213
F,0.595,0.46,0.14,10.045
M,0.595,0.455,0.15,1.044
F,0.605,0.49,0.15,11.345
M,0.605,0.475,0.155,1.161
M,0.605,0.47,0.165,12.315
M,0.61,0.47,0.15,11.625
M,0.61,0.475,0.155,1.168
F,0.615,0.48,0.16,12.525
F,0.62,0.51,0.18,13.315
F,0.625,0.48,0.17,13.525
M,0.625,0.49,0.175,13.325
F,0.625,0.475,0.175,11.435
F,0.625,0.5,0.165,1.288
F,0.625,0.485,0.2,1.38
M,0.63,0.485,0.155,1.278
F,0.63,0.495,0.165,13.075
M,0.63,0.48,0.15,11.785
M,0.635,0.49,0.175,1.375
M,0.635,0.525,0.185,14.065
M,0.64,0.505,0.155,14.025
F,0.64,0.5,0.17,15.175
F,0.64,0.5,0.175,1.394
F,0.645,0.5,0.155,12.205
M,0.645,0.52,0.175,1.636
M,0.645,0.52,0.175,1.561
F,0.645,0.505,0.165,14.325
M,0.645,0.5,0.175,13.385
F,0.645,0.5,0.16,12.465
F,0.645,0.515,0.15,1.212
M,0.65,0.495,0.16,1.304
M,0.65,0.52,0.21,16.785
M,0.65,0.525,0.185,1.622
F,0.655,0.46,0.16,1.494
F,0.655,0.51,0.175,16.525
F,0.66,0.505,0.185,1.528
M,0.66,0.535,0.19,15.905
M,0.66,0.495,0.195,16.275
F,0.66,0.475,0.18,13.695
M,0.67,0.525,0.165,16.085
F,0.675,0.57,0.225,1.587
F,0.675,0.565,0.195,18.375
M,0.68,0.535,0.185,1.607
M,0.69,0.525,0.175,17.005
M,0.69,0.505,0.2,1.872
F,0.695,0.535,0.175,18.385
F,0.705,0.535,0.18,1.685
M,0.71,0.565,0.205,2.198
M,0.715,0.565,0.175,19.525
F,0.715,0.525,0.185,1.56
F,0.735,0.6,0.22,2.555
M,0.765,0.6,0.22,2.302
I,0.185,0.13,0.045,0.029
I,0.195,0.15,0.045,0.0375
I,0.195,0.135,0.04,0.0325
I,0.2,0.155,0.04,0.0435
I,0.225,0.165,0.055,0.059
I,0.245,0.18,0.065,0.071
I,0.25,0.18,0.065,0.0685
I,0.265,0.195,0.055,0.084
I,0.275,0.195,0.065,0.106
I,0.28,0.21,0.085,0.1075
I,0.285,0.22,0.065,0.096
I,0.3,0.22,0.08,0.1255
I,0.315,0.235,0.055,0.151
I,0.32,0.225,0.085,0.1415
I,0.34,0.265,0.08,0.2015
I,0.37,0.28,0.1,0.221
I,0.375,0.28,0.08,0.2345
I,0.375,0.275,0.1,0.2325
I,0.385,0.29,0.08,0.2485
I,0.4,0.32,0.095,0.348
I,0.405,0.3,0.11,0.32
I,0.41,0.3,0.1,0.282
I,0.41,0.325,0.1,0.3245
I,0.42,0.3,0.105,0.316
I,0.42,0.32,0.11,0.3625
I,0.42,0.31,0.095,0.279
I,0.425,0.325,0.115,0.3685
M,0.43,0.335,0.12,0.397
I,0.435,0.33,0.11,0.413
I,0.435,0.345,0.115,0.418
I,0.44,0.33,0.11,0.3705
I,0.445,0.345,0.105,0.409
I,0.445,0.34,0.145,0.434
I,0.445,0.335,0.11,0.411
I,0.45,0.365,0.125,0.462
I,0.45,0.34,0.12,0.4925
I,0.45,0.33,0.105,0.3715
I,0.45,0.33,0.1,0.411
I,0.45,0.33,0.11,0.3685
I,0.46,0.35,0.115,0.4155
M,0.47,0.36,0.105,0.544
I,0.47,0.38,0.125,0.4845
I,0.475,0.35,0.11,0.4565
I,0.475,0.35,0.1,0.4545
I,0.48,0.38,0.125,0.6245
M,0.49,0.465,0.125,0.5225
I,0.5,0.375,0.14,0.5495
I,0.5,0.375,0.12,0.542
I,0.5,0.38,0.125,0.519
M,0.5,0.39,0.125,0.5215
F,0.505,0.39,0.125,0.5445
I,0.51,0.405,0.125,0.6795
F,0.51,0.4,0.125,0.545
I,0.51,0.4,0.125,0.5575
I,0.51,0.38,0.115,0.5155
I,0.515,0.385,0.125,0.6115
M,0.52,0.4,0.145,0.7765
I,0.52,0.38,0.135,0.5395
I,0.52,0.38,0.125,0.5545
F,0.52,0.46,0.15,1.019
I,0.525,0.4,0.13,0.6455
I,0.525,0.4,0.14,0.601
M,0.525,0.405,0.12,0.7555
I,0.525,0.395,0.12,0.608
I,0.53,0.4,0.125,0.617
I,0.535,0.39,0.125,0.599
I,0.54,0.42,0.14,0.6665
M,0.545,0.39,0.135,0.7835
M,0.545,0.41,0.12,0.793
M,0.545,0.415,0.14,0.82
F,0.55,0.415,0.135,0.8145
F,0.55,0.43,0.15,0.84
M,0.55,0.425,0.15,0.8315
M,0.56,0.43,0.145,0.8995
M,0.56,0.445,0.16,0.8965
F,0.56,0.44,0.155,0.6405
M,0.56,0.415,0.145,0.852
M,0.565,0.455,0.15,0.9595
M,0.565,0.435,0.15,0.99
F,0.565,0.45,0.175,10.095
M,0.57,0.46,0.15,10.375
F,0.57,0.445,0.145,0.8775
I,0.57,0.44,0.15,0.755
F,0.575,0.46,0.145,0.9945
F,0.575,0.45,0.16,1.068
M,0.575,0.435,0.14,0.8455
F,0.575,0.47,0.165,0.869
M,0.575,0.455,0.135,0.907
I,0.575,0.435,0.13,0.805
M,0.575,0.445,0.17,10.225
M,0.575,0.445,0.145,0.847
M,0.58,0.455,0.15,1.114
M,0.58,0.455,0.195,1.859
M,0.58,0.445,0.135,0.814
M,0.58,0.45,0.14,0.9615
M,0.58,0.45,0.145,10.025
F,0.58,0.45,0.155,0.93
M,0.585,0.46,0.145,0.9335
M,0.585,0.465,0.16,0.9555
M,0.59,0.47,0.15,0.9955
F,0.6,0.475,0.16,10.265
M,0.6,0.455,0.17,11.915
F,0.6,0.465,0.15,11.025
M,0.6,0.465,0.155,10.165
F,0.605,0.47,0.165,11.775
M,0.605,0.475,0.14,11.175
M,0.605,0.48,0.17,11.835
F,0.605,0.475,0.165,1.056
M,0.61,0.485,0.16,10.145
M,0.61,0.485,0.145,13.305
M,0.61,0.47,0.165,1.052
M,0.615,0.46,0.17,10.565
F,0.615,0.465,0.15,0.923
F,0.615,0.475,0.155,1.027
M,0.62,0.47,0.135,10.195
M,0.62,0.45,0.2,0.858
F,0.62,0.48,0.16,11.125
F,0.625,0.485,0.175,13.745
M,0.625,0.48,0.185,12.065
M,0.63,0.47,0.155,11.325
M,0.63,0.5,0.175,12.645
F,0.635,0.495,0.015,11.565
M,0.64,0.515,0.165,1.369
M,0.645,0.53,0.195,1.39
F,0.645,0.48,0.17,11.345
F,0.65,0.5,0.19,1.464
M,0.65,0.5,0.155,1.202
M,0.655,0.515,0.16,1.31
F,0.655,0.51,0.175,1.415
F,0.66,0.53,0.185,1.346
M,0.665,0.525,0.16,1.363
I,0.665,0.5,0.17,12.975
F,0.67,0.505,0.205,13.645
F,0.685,0.54,0.215,17.025
M,0.685,0.52,0.165,1.519
F,0.69,0.54,0.155,1.454
M,0.69,0.53,0.21,1.583
F,0.69,0.53,0.17,15.535
M,0.695,0.56,0.185,1.74
M,0.7,0.565,0.18,1.751
M,0.7,0.575,0.19,2.273
F,0.7,0.525,0.19,16.465
F,0.705,0.55,0.17,1.219
F,0.71,0.56,0.18,1.652
M,0.715,0.55,0.19,20.045
M,0.715,0.535,0.19,16.755
F,0.72,0.58,0.195,2.103
F,0.72,0.55,0.2,19.965
M,0.72,0.565,0.145,1.187
M,0.725,0.505,0.185,1.978
F,0.73,0.575,0.185,18.795
M,0.735,0.585,0.185,2.124
M,0.745,0.565,0.215,1.931
F,0.75,0.57,0.21,2.236
F,0.755,0.625,0.21,2.505
M,0.755,0.58,0.205,20.065
F,0.78,0.63,0.215,2.657
I,0.185,0.375,0.12,0.4645
I,0.245,0.205,0.06,0.0765
I,0.25,0.185,0.065,0.0685
I,0.25,0.19,0.065,0.0835
I,0.275,0.195,0.09,0.1125
I,0.305,0.215,0.065,0.1075
I,0.31,0.225,0.07,0.1055
I,0.315,0.23,0.08,0.1375
I,0.315,0.23,0.07,0.1145
I,0.325,0.225,0.075,0.139
I,0.33,0.25,0.095,0.2085
I,0.33,0.205,0.095,0.1595
I,0.335,0.245,0.09,0.2015
I,0.34,0.25,0.09,0.179
I,0.345,0.255,0.095,0.1945
I,0.345,0.255,0.085,0.2005
I,0.35,0.27,0.075,0.215
I,0.35,0.255,0.09,0.1785
I,0.36,0.27,0.085,0.196
I,0.365,0.27,0.085,0.1875
I,0.365,0.27,0.085,0.196
I,0.365,0.265,0.085,0.213
I,0.37,0.29,0.09,0.2445
I,0.37,0.28,0.085,0.217
I,0.375,0.29,0.095,0.213
I,0.375,0.29,0.085,0.2385
I,0.375,0.275,0.09,0.218
I,0.375,0.275,0.095,0.2465
I,0.375,0.28,0.08,0.2025
I,0.375,0.27,0.085,0.218
I,0.38,0.275,0.11,0.256
I,0.38,0.27,0.08,0.2105
I,0.385,0.29,0.09,0.2615
I,0.385,0.28,0.085,0.2175
I,0.385,0.3,0.095,0.302
I,0.385,0.28,0.09,0.228
I,0.39,0.3,0.095,0.3265
I,0.395,0.305,0.105,0.284
I,0.395,0.295,0.095,0.2725
I,0.395,0.27,0.1,0.2985
I,0.4,0.29,0.1,0.2675
I,0.405,0.285,0.09,0.2645
I,0.41,0.335,0.11,0.33
I,0.42,0.305,0.09,0.328
I,0.425,0.325,0.11,0.3335
I,0.425,0.32,0.1,0.3055
I,0.425,0.31,0.09,0.301
I,0.43,0.34,0,0.428
I,0.43,0.315,0.095,0.378
I,0.435,0.315,0.11,0.3685
I,0.44,0.34,0.12,0.438
I,0.45,0.33,0.105,0.448
I,0.455,0.345,0.105,0.4005
F,0.455,0.365,0.115,0.4305
I,0.455,0.33,0.1,0.372
I,0.46,0.36,0.105,0.466
I,0.46,0.35,0.105,0.3705
F,0.46,0.365,0.125,0.4785
I,0.465,0.34,0.11,0.346
I,0.47,0.365,0.1,0.411
I,0.47,0.355,0.18,0.48
I,0.47,0.355,0.12,0.393
I,0.475,0.355,0.1,0.5035
I,0.475,0.38,0.12,0.441
I,0.475,0.36,0.11,0.492
I,0.48,0.37,0.125,0.5435
I,0.48,0.355,0.115,0.4725
I,0.48,0.365,0.1,0.461
I,0.495,0.355,0.12,0.4965
I,0.495,0.38,0.13,0.5125
M,0.495,0.395,0.12,0.553
I,0.5,0.38,0.135,0.594
M,0.5,0.42,0.135,0.6765
I,0.5,0.375,0.145,0.5795
I,0.5,0.41,0.14,0.6615
I,0.5,0.375,0.125,0.5695
I,0.5,0.395,0.14,0.6215
I,0.505,0.405,0.13,0.6015
I,0.505,0.38,0.12,0.594
I,0.505,0.395,0.105,0.551
I,0.515,0.38,0.12,0.625
I,0.515,0.42,0.135,0.711
I,0.515,0.4,0.135,0.6965
I,0.52,0.4,0.13,0.5825
I,0.52,0.395,0.125,0.663
I,0.525,0.4,0.125,0.6965
M,0.525,0.42,0.155,0.842
I,0.53,0.415,0.13,0.694
I,0.53,0.42,0.155,0.81
I,0.53,0.415,0.11,0.5745
I,0.53,0.425,0.13,0.7675
I,0.535,0.4,0.135,0.6025
I,0.535,0.415,0.15,0.5765
F,0.535,0.41,0.13,0.7145
M,0.535,0.435,0.15,0.717
F,0.54,0.42,0.145,0.8655
I,0.54,0.42,0.14,0.7265
I,0.545,0.435,0.135,0.7715
F,0.545,0.445,0.15,0.8
I,0.545,0.43,0.15,0.7285
I,0.545,0.405,0.135,0.5945
I,0.55,0.43,0.145,0.7895
F,0.55,0.405,0.125,0.651
M,0.55,0.43,0.15,0.8745
I,0.55,0.435,0.14,0.7535
I,0.55,0.425,0.135,0.7305
M,0.555,0.44,0.14,0.8705
I,0.555,0.43,0.155,0.7395
I,0.555,0.43,0.14,0.7665
I,0.555,0.425,0.145,0.7905
I,0.56,0.425,0.135,0.8205
I,0.56,0.425,0.145,0.688
F,0.56,0.445,0.155,1.224
I,0.56,0.455,0.145,0.974
I,0.565,0.44,0.175,0.8735
F,0.565,0.45,0.145,0.8495
M,0.565,0.445,0.15,0.796
M,0.565,0.39,0.125,0.744
I,0.57,0.45,0.145,0.751
I,0.57,0.45,0.135,0.794
F,0.57,0.46,0.135,0.9795
M,0.57,0.435,0.17,0.873
I,0.57,0.44,0.13,0.7665
M,0.57,0.435,0.125,0.8965
F,0.575,0.42,0.135,0.857
F,0.575,0.48,0.165,1.078
M,0.575,0.46,0.155,0.892
M,0.58,0.46,0.155,14.395
M,0.58,0.455,0.135,0.7955
F,0.58,0.445,0.15,0.858
M,0.585,0.465,0.155,0.9145
M,0.585,0.49,0.185,1.171
I,0.585,0.475,0.16,10.505
M,0.585,0.46,0.165,11.135
M,0.585,0.47,0.165,1.409
M,0.585,0.475,0.15,1.065
M,0.585,0.45,0.18,0.7995
I,0.59,0.445,0.135,0.7715
M,0.59,0.47,0.18,1.187
M,0.59,0.455,0.155,0.8855
F,0.595,0.465,0.15,0.98
F,0.595,0.465,0.155,1.026
M,0.6,0.475,0.17,11.315
M,0.6,0.48,0.155,1.014
I,0.6,0.475,0.15,1.12
F,0.6,0.465,0.155,1.04
F,0.6,0.455,0.145,0.8895
M,0.6,0.46,0.155,0.9595
I,0.605,0.485,0.15,1.238
M,0.605,0.49,0.14,0.9755
I,0.605,0.435,0.13,0.9025
F,0.605,0.475,0.175,1.076
F,0.605,0.47,0.16,10.835
M,0.61,0.45,0.15,0.871
M,0.61,0.48,0.165,1.244
M,0.61,0.475,0.17,10.265
I,0.61,0.465,0.15,0.9605
M,0.61,0.48,0.17,1.137
M,0.61,0.46,0.16,1
F,0.615,0.475,0.155,1.004
M,0.615,0.47,0.165,1.128
M,0.615,0.5,0.17,1.054
F,0.615,0.475,0.165,1.023
M,0.615,0.475,0.17,1.129
M,0.615,0.48,0.175,1.118
F,0.615,0.475,0.155,1.115
M,0.62,0.51,0.175,12.815
M,0.62,0.495,0.18,12.555
F,0.62,0.5,0.15,1.293
F,0.62,0.475,0.16,11.295
M,0.625,0.455,0.17,1.082
F,0.625,0.505,0.175,1.15
F,0.625,0.515,0.16,1.264
F,0.625,0.48,0.155,12.035
F,0.63,0.485,0.17,13.205
I,0.63,0.505,0.18,1.272
M,0.63,0.485,0.145,1.062
I,0.63,0.475,0.145,10.605
M,0.63,0.495,0.16,1.093
M,0.635,0.49,0.16,1.101
F,0.635,0.5,0.165,14.595
F,0.635,0.495,0.175,1.211
M,0.635,0.475,0.17,11.935
M,0.635,0.51,0.155,0.986
M,0.64,0.565,0.23,1.521
M,0.64,0.525,0.18,13.135
M,0.645,0.51,0.16,11.835
M,0.645,0.5,0.195,1.401
M,0.645,0.525,0.16,15.075
F,0.65,0.505,0.165,1.16
F,0.65,0.59,0.22,1.662
M,0.65,0.525,0.175,15.365
M,0.65,0.51,0.19,1.542
F,0.65,0.51,0.17,1.567
F,0.655,0.525,0.19,13.595
M,0.655,0.535,0.205,16.445
F,0.655,0.52,0.19,14.545
M,0.655,0.49,0.175,13.585
F,0.66,0.495,0.21,1.548
F,0.66,0.515,0.17,1.337
F,0.665,0.53,0.18,1.491
F,0.67,0.53,0.225,15.615
F,0.67,0.505,0.175,10.145
M,0.675,0.545,0.185,17.375
M,0.685,0.545,0.205,17.925
F,0.695,0.565,0.19,17.635
F,0.7,0.545,0.13,1.556
M,0.705,0.565,0.515,2.21
M,0.705,0.555,0.215,2.141
F,0.705,0.57,0.18,15.345
F,0.71,0.55,0.17,1.614
F,0.72,0.575,0.17,19.335
M,0.72,0.575,0.215,2.173
F,0.725,0.6,0.2,1.737
F,0.73,0.58,0.19,17.375
F,0.735,0.565,0.205,21.275
F,0.745,0.57,0.215,2.25
F,0.75,0.61,0.235,25.085
F,0.815,0.65,0.25,2.255
I,0.14,0.105,0.035,0.014
I,0.23,0.165,0.06,0.0515
I,0.365,0.265,0.135,0.2215
I,0.365,0.255,0.08,0.1985
I,0.37,0.27,0.095,0.232
I,0.375,0.28,0.085,0.3155
I,0.385,0.3,0.09,0.247
I,0.395,0.295,0.09,0.3025
I,0.4,0.29,0.11,0.329
I,0.4,0.3,0.09,0.2815
I,0.405,0.31,0.095,0.3425
I,0.405,0.29,0.09,0.2825
I,0.405,0.3,0.105,0.304
I,0.41,0.32,0.095,0.2905
M,0.415,0.315,0.115,0.3895
I,0.425,0.34,0.105,0.389
I,0.43,0.34,0.105,0.4405
I,0.44,0.34,0.105,0.369
M,0.44,0.32,0.12,0.4565
I,0.44,0.365,0.11,0.4465
M,0.45,0.335,0.125,0.4475
I,0.455,0.335,0.135,0.501
I,0.46,0.355,0.11,0.436
I,0.47,0.345,0.14,0.4615
I,0.47,0.35,0.125,0.4315
I,0.47,0.355,0.12,0.3685
M,0.475,0.37,0.125,0.649
I,0.475,0.365,0.115,0.459
F,0.475,0.365,0.115,0.566
I,0.48,0.36,0.125,0.542
I,0.485,0.38,0.12,0.4725
M,0.485,0.39,0.085,0.6435
M,0.485,0.37,0.13,0.526
F,0.495,0.38,0.12,0.573
M,0.505,0.385,0.105,0.5525
F,0.505,0.38,0.135,0.6855
I,0.515,0.395,0.125,0.556
M,0.515,0.425,0.145,0.9365
I,0.515,0.4,0.125,0.5625
M,0.52,0.4,0.125,0.559
M,0.525,0.4,0.14,0.7205
I,0.53,0.43,0.13,0.7045
M,0.53,0.4,0.125,0.7575
F,0.545,0.41,0.14,0.7405
F,0.55,0.43,0.14,0.84
M,0.55,0.425,0.16,0.793
F,0.56,0.43,0.15,0.8745
F,0.56,0.435,0.15,0.8715
M,0.57,0.445,0.15,0.9875
M,0.575,0.465,0.15,1.08
M,0.575,0.46,0.165,0.9155
F,0.58,0.46,0.175,1.165
F,0.58,0.435,0.14,0.953
M,0.585,0.455,0.15,0.906
M,0.59,0.44,0.15,0.8725
F,0.59,0.465,0.15,1.151
F,0.59,0.46,0.145,0.9905
F,0.595,0.455,0.16,1.04
M,0.6,0.455,0.155,0.945
M,0.6,0.465,0.2,1.259
F,0.605,0.485,0.165,0.9515
F,0.605,0.485,0.16,1.201
F,0.605,0.515,0.17,1.289
F,0.61,0.485,0.17,11.005
I,0.615,0.475,0.13,0.8425
M,0.62,0.485,0.155,1.049
F,0.62,0.435,0.155,1.012
M,0.62,0.48,0.165,10.725
M,0.625,0.52,0.175,14.105
M,0.625,0.47,0.18,1.136
M,0.63,0.47,0.145,11.005
F,0.63,0.5,0.175,11.105
M,0.63,0.455,0.15,11.315
M,0.63,0.48,0.15,1.271
F,0.63,0.49,0.225,1.336
F,0.635,0.505,0.145,11.345
M,0.635,0.51,0.185,1.308
F,0.64,0.515,0.205,15.335
F,0.645,0.515,0.175,1.546
M,0.645,0.51,0.155,1.539
F,0.645,0.505,0.165,1.318
F,0.65,0.545,0.175,15.245
M,0.65,0.515,0.175,1.466
F,0.65,0.5,0.16,13.825
M,0.65,0.485,0.14,1.175
F,0.655,0.54,0.215,15.555
M,0.655,0.51,0.215,17.835
M,0.66,0.505,0.165,1.374
F,0.665,0.515,0.18,1.389
M,0.67,0.545,0.2,17.025
M,0.67,0.51,0.175,15.265
M,0.67,0.5,0.19,1.519
